,DateAndTime,Irradiance
329,02-07-2021 03:20,0
330,02-07-2021 03:25,0
331,02-07-2021 03:30,0
332,02-07-2021 03:35,0
333,02-07-2021 03:40,0
334,02-07-2021 03:45,0
335,02-07-2021 03:50,0
336,02-07-2021 03:55,0
337,02-07-2021 04:00,0
338,02-07-2021 04:05,0
339,02-07-2021 04:10,0
340,02-07-2021 04:15,0
341,02-07-2021 04:20,0
342,02-07-2021 04:25,0
343,02-07-2021 04:30,0
344,02-07-2021 04:35,0
345,02-07-2021 04:40,0
346,02-07-2021 04:45,0
347,02-07-2021 04:50,0
348,02-07-2021 04:55,0
349,02-07-2021 05:00,0
350,02-07-2021 05:05,0
351,02-07-2021 05:10,0
352,02-07-2021 05:15,0
353,02-07-2021 05:20,0
354,02-07-2021 05:25,0
355,02-07-2021 05:30,0
356,02-07-2021 05:35,0
357,02-07-2021 05:40,0
358,02-07-2021 05:45,0
359,02-07-2021 05:50,0
360,02-07-2021 05:55,0
361,02-07-2021 06:00,0
362,02-07-2021 06:05,0
363,02-07-2021 06:10,0.199
364,02-07-2021 06:15,2.432
365,02-07-2021 06:20,6.187
366,02-07-2021 06:25,12.01
367,02-07-2021 06:30,17.196
368,02-07-2021 06:35,23.022
369,02-07-2021 06:40,32.195
370,02-07-2021 06:45,42.694
371,02-07-2021 06:50,50.03
372,02-07-2021 06:55,53.482
373,02-07-2021 07:00,62.691
374,02-07-2021 07:05,69.166
375,02-07-2021 07:10,76.03
376,02-07-2021 07:15,83.446
377,02-07-2021 07:20,87.402
378,02-07-2021 07:25,96.053
379,02-07-2021 07:30,105.525
380,02-07-2021 07:35,107.059
381,02-07-2021 07:40,109.241
382,02-07-2021 07:45,110.717
383,02-07-2021 07:50,121.118
384,02-07-2021 07:55,127.676
385,02-07-2021 08:00,137.302
386,02-07-2021 08:05,146.981
387,02-07-2021 08:10,159.358
388,02-07-2021 08:15,168.608
389,02-07-2021 08:20,179.082
390,02-07-2021 08:25,181.68
391,02-07-2021 08:30,181.193
392,02-07-2021 08:35,206.319
393,02-07-2021 08:40,224.588
394,02-07-2021 08:45,247.546
395,02-07-2021 08:50,274.258
396,02-07-2021 08:55,320.122
397,02-07-2021 09:00,348.93
398,02-07-2021 09:05,374.936
399,02-07-2021 09:10,386.67
400,02-07-2021 09:15,342.548
401,02-07-2021 09:20,350.001
402,02-07-2021 09:25,279.223
403,02-07-2021 09:30,252.982
404,02-07-2021 09:35,323.156
405,02-07-2021 09:40,334.067
406,02-07-2021 09:45,395.326
407,02-07-2021 09:50,289.066
408,02-07-2021 09:55,340.151
409,02-07-2021 10:00,473.77
410,02-07-2021 10:05,434.033
411,02-07-2021 10:10,436.401
412,02-07-2021 10:15,535.016
413,02-07-2021 10:20,558.93
414,02-07-2021 10:25,564.107
415,02-07-2021 10:30,500.64
416,02-07-2021 10:35,570.826
417,02-07-2021 10:40,479.231
418,02-07-2021 10:45,510.458
419,02-07-2021 10:50,558.25
420,02-07-2021 10:55,519.539
421,02-07-2021 11:00,423.864
422,02-07-2021 11:05,615.196
423,02-07-2021 11:10,536.161
424,02-07-2021 11:15,566.458
425,02-07-2021 11:20,426.321
426,02-07-2021 11:25,551.678
427,02-07-2021 11:30,412.907
428,02-07-2021 11:35,441.738
429,02-07-2021 11:40,614.808
430,02-07-2021 11:45,577.132
431,02-07-2021 11:50,455.621
432,02-07-2021 11:55,488.458
433,02-07-2021 12:00,449.027
434,02-07-2021 12:05,510.163
435,02-07-2021 12:10,346.399
436,02-07-2021 12:15,643.532
437,02-07-2021 12:20,389.462
438,02-07-2021 12:25,341.305
439,02-07-2021 12:30,488.738
440,02-07-2021 12:35,422.095
441,02-07-2021 12:40,490.318
442,02-07-2021 12:45,414.681
443,02-07-2021 12:50,375.478
444,02-07-2021 12:55,521.206
445,02-07-2021 13:00,519.811
446,02-07-2021 13:05,431.767
447,02-07-2021 13:10,402.185
448,02-07-2021 13:15,330.95
449,02-07-2021 13:20,493.113
450,02-07-2021 13:25,310.331
451,02-07-2021 13:30,422.977
452,02-07-2021 13:35,426.956
453,02-07-2021 13:40,408.342
454,02-07-2021 13:45,440.468
455,02-07-2021 13:50,331.871
456,02-07-2021 13:55,416.796
457,02-07-2021 14:00,496.1
458,02-07-2021 14:05,363.887
459,02-07-2021 14:10,490.483
460,02-07-2021 14:15,509.302
461,02-07-2021 14:20,492.751
462,02-07-2021 14:25,772.886
463,02-07-2021 14:30,640.773
464,02-07-2021 14:35,550.574
465,02-07-2021 14:40,495.436
466,02-07-2021 14:45,352.491
467,02-07-2021 14:50,322.219
468,02-07-2021 14:55,412.077
469,02-07-2021 15:00,424.609
470,02-07-2021 15:05,351.754
471,02-07-2021 15:10,359.768
472,02-07-2021 15:15,384.552
473,02-07-2021 15:20,369.278
474,02-07-2021 15:25,464.793
475,02-07-2021 15:30,427.67
476,02-07-2021 15:35,390.432
477,02-07-2021 15:40,381.968
478,02-07-2021 15:45,382.948
479,02-07-2021 15:50,367.679
480,02-07-2021 15:55,266.787
481,02-07-2021 16:00,213.523
482,02-07-2021 16:05,274.337
483,02-07-2021 16:10,339.894
484,02-07-2021 16:15,303.691
485,02-07-2021 16:20,251.861
486,02-07-2021 16:25,185.892
487,02-07-2021 16:30,152.755
488,02-07-2021 16:35,139.058
489,02-07-2021 16:40,144.107
490,02-07-2021 16:45,120.68
491,02-07-2021 16:50,93.44
492,02-07-2021 16:55,90.67
493,02-07-2021 17:00,88.027
494,02-07-2021 17:05,91.236
495,02-07-2021 17:10,96.367
496,02-07-2021 17:15,69.251
497,02-07-2021 17:20,44.923
498,02-07-2021 17:25,44.62
499,02-07-2021 17:30,44.199
500,02-07-2021 17:35,51.944
501,02-07-2021 17:40,45.367
502,02-07-2021 17:45,39.681
503,02-07-2021 17:50,44.347
504,02-07-2021 17:55,46.759
505,02-07-2021 18:00,44.456
506,02-07-2021 18:05,47.3
507,02-07-2021 18:10,43.038
508,02-07-2021 18:15,33.656
509,02-07-2021 18:20,28.736
510,02-07-2021 18:25,24.56
511,02-07-2021 18:30,23.45
512,02-07-2021 18:35,19.546
513,02-07-2021 18:40,14.242
514,02-07-2021 18:45,8.928
515,02-07-2021 18:50,3.844
516,02-07-2021 18:55,0.006
517,02-07-2021 19:00,0
518,02-07-2021 19:05,0
519,02-07-2021 19:10,0
520,02-07-2021 19:15,0
521,02-07-2021 19:20,0
522,02-07-2021 19:25,0
523,02-07-2021 19:30,0
524,02-07-2021 19:35,0
525,02-07-2021 19:40,0
526,02-07-2021 19:45,0
527,02-07-2021 19:50,0
528,02-07-2021 19:55,0
529,02-07-2021 20:00,0
530,02-07-2021 20:05,0
531,02-07-2021 20:10,0
532,02-07-2021 20:15,0
533,02-07-2021 20:20,0
534,02-07-2021 20:25,0
535,02-07-2021 20:30,0
536,02-07-2021 20:35,0
537,02-07-2021 20:40,0
538,02-07-2021 20:45,0
539,02-07-2021 20:50,0
540,02-07-2021 20:55,0
541,02-07-2021 21:00,0
542,02-07-2021 21:05,0
543,02-07-2021 21:10,0
544,02-07-2021 21:15,0
545,02-07-2021 21:20,0
546,02-07-2021 21:25,0
547,02-07-2021 21:30,0
548,02-07-2021 21:35,0
549,02-07-2021 21:40,0
550,02-07-2021 21:45,0
551,02-07-2021 21:50,0
552,02-07-2021 21:55,0
553,02-07-2021 22:00,0
